inst_i,inst_j,weight
https://openalex.org/I136199984,https://openalex.org/I241749,3475
https://openalex.org/I136199984,https://openalex.org/I25974101,329
https://openalex.org/I136199984,https://openalex.org/I4210134900,199
https://openalex.org/I136199984,https://openalex.org/I45129253,5002
https://openalex.org/I136199984,https://openalex.org/I865915315,944
https://openalex.org/I136199984,https://openalex.org/I9341345,528
https://openalex.org/I154526488,https://openalex.org/I189158943,1569
https://openalex.org/I154526488,https://openalex.org/I241749,2234
https://openalex.org/I154526488,https://openalex.org/I25974101,424
https://openalex.org/I154526488,https://openalex.org/I4210134900,229
https://openalex.org/I154526488,https://openalex.org/I45129253,4429
https://openalex.org/I154526488,https://openalex.org/I865915315,709
https://openalex.org/I154526488,https://openalex.org/I9341345,802
https://openalex.org/I189158943,https://openalex.org/I196349391,217
https://openalex.org/I189158943,https://openalex.org/I205783295,685
https://openalex.org/I189158943,https://openalex.org/I241749,1067
https://openalex.org/I189158943,https://openalex.org/I25974101,145
https://openalex.org/I189158943,https://openalex.org/I40120149,1033
https://openalex.org/I189158943,https://openalex.org/I4210087915,526
https://openalex.org/I189158943,https://openalex.org/I4210134900,105
https://openalex.org/I189158943,https://openalex.org/I45129253,1829
https://openalex.org/I189158943,https://openalex.org/I865915315,227
https://openalex.org/I189158943,https://openalex.org/I9341345,247
https://openalex.org/I189158943,https://openalex.org/I97018004,685
https://openalex.org/I196349391,https://openalex.org/I241749,296
https://openalex.org/I196349391,https://openalex.org/I25974101,445
https://openalex.org/I196349391,https://openalex.org/I4210134900,227
https://openalex.org/I196349391,https://openalex.org/I45129253,410
https://openalex.org/I196349391,https://openalex.org/I865915315,181
https://openalex.org/I196349391,https://openalex.org/I9341345,471
https://openalex.org/I205783295,https://openalex.org/I241749,1276
https://openalex.org/I205783295,https://openalex.org/I25974101,150
https://openalex.org/I205783295,https://openalex.org/I4210134900,54
https://openalex.org/I205783295,https://openalex.org/I45129253,1207
https://openalex.org/I205783295,https://openalex.org/I865915315,224
https://openalex.org/I205783295,https://openalex.org/I9341345,132
https://openalex.org/I241749,https://openalex.org/I25974101,277
https://openalex.org/I241749,https://openalex.org/I40120149,10154
https://openalex.org/I241749,https://openalex.org/I4210087915,1059
https://openalex.org/I241749,https://openalex.org/I4210134900,103
https://openalex.org/I241749,https://openalex.org/I45129253,10091
https://openalex.org/I241749,https://openalex.org/I865915315,695
https://openalex.org/I241749,https://openalex.org/I9341345,255
https://openalex.org/I241749,https://openalex.org/I97018004,2378
